Country,Develop,1960,1970,1980,1990,2000,Total
Afghanistan,Developing,-37534,-78052,-314936,-996582,-1103705,-2207410
Albania,Developing,-25698,-3584,12490,-138788,-945145,-1890290
Algeria,Developing,-424530,-1526371,-1470336,-1458752,-1253130,-2506260
American Samoa,Developing,-2111,-5758,871,17634,5056,10112
Angola,Developing,12655,-88472,-190251,-249049,-343101,-686202
Antigua and Barbuda,Developing,-6485,1076,-5329,-15480,-26276,-52552
Argentina,Developing,2427609,1963246,1567818,1193143,956093,1912186
Armenia,Developing,-165945,-51213,-32309,-201935,-561751,-1123502
Aruba,Developing,6131,6293,2676,6125,19211,38422
Australia,Developed,1519137,2212052,2629279,3215797,3501078,7002156
Austria,Developed,133903,-57278,113014,180342,338526,677052
Azerbaijan,Developing,-26353,-146084,-347201,-617089,-1244854,-2489708
"Bahamas, The",Developing,3638,29412,5401,-2703,-5103,-10206
Bahrain,Developing,24919,34389,86064,148752,189641,379282
Bangladesh,Developing,608202,491373,-4242653,-4186832,-4021731,-8043462
Barbados,Developing,-18684,-11559,-49428,-70475,-66016,-132032
Belarus,Developing,-882887,-1154533,-1022884,-898223,-606953,-1213906
Belgium,Developed,196144,353554,530541,507512,559276,1118552
Belize,Developing,1817,-19893,-9417,-41061,-17128,-34256
Benin,Developing,-63655,-99073,-328717,-190583,-222467,-444934
Bermuda,Developed,4756,13735,-745,-2495,-661,-1322
Bhutan,Developing,9396,11862,6985,9137,20447,40894
Bolivia,Developing,-78523,-87875,-108838,-167175,-273120,-546240
Bosnia and Herzegovina,Developing,-206169,-343684,-289595,-771770,-1249401,-2498802
Botswana,Developing,-59863,-46880,-76387,-46993,13449,26898
Brazil,Developing,1246649,998896,782849,322531,-221959,-443918
Brunei Darussalam,Developing,19636,27499,42880,-13896,53012,106024
Bulgaria,Developing,-473107,-443404,-377521,-625395,-673208,-1346416
Burkina Faso,Developing,-396564,-704378,-733528,-633671,-817040,-1634080
Burundi,Developing,-93041,-129546,-217799,-162297,-163419,-326838
Cambodia,Developing,363539,300429,-90166,-208924,-45114,-90228
Cameroon,Developing,115030,137690,21783,85471,30227,60454
Canada,Developed,1614490,2068171,2487566,3299690,4156885,8313770
Cape Verde,Developing,-34132,-30781,-55132,-75319,-141659,-283318
Cayman Islands,Developing,-306,1320,4418,10485,22175,44350
Central African Republic,Developing,11941,-12250,8182,12360,-8183,-16366
Chad,Developing,-15058,-9781,-44134,-82734,-50813,-101626
Channel Islands,Developing,0,0,0,0,0,0
Chile,Developing,-70899,-145734,-322358,-380941,-331302,-662604
China,Developing,-4554695,-2536971,-4106439,-4356290,-5573211,-11146422
Colombia,Developing,-126234,-255667,-629448,-924932,-1422142,-2844284
Comoros,Developing,-47537,-27241,2489,-13316,-9965,-19930
"Congo, Rep.",Developing,-39879,-25868,-7425,1504,-50654,-101308
Costa Rica,Developing,4953,-16455,1371,64998,189873,379746
Cote d'Ivoire,Developing,642208,1061428,1347551,1387580,1657735,3315470
Croatia,Developing,-74473,-190778,-148983,-3227,-89135,-178270
Cuba,Developing,1904,-477122,-728923,-871512,-1035146,-2070292
Cyprus,Developing,-64857,-82112,-115638,-163800,-115319,-230638
Czech Republic,Developing,-1137179,-1114359,-978139,-189621,-424085,-848170
Denmark,Developed,-126813,-81051,-85184,15164,151957,303914
Djibouti,Developing,9900,19338,37136,64151,80623,161246
Dominica,Developing,-10533,-5434,-10034,-33227,-33462,-66924
Dominican Republic,Developing,88534,74973,-20662,-198534,-512381,-1024762
Ecuador,Developing,-28288,-37901,-79209,-152626,-527723,-1055446
"Egypt, Arab Rep.",Developing,43418,-190608,-840597,-1730012,-2057198,-4114396
El Salvador,Developing,-30597,-40797,-129827,-541841,-903614,-1807228
Equatorial Guinea,Developing,15961,-820,-17417,-31150,-57218,-114436
Eritrea,Developing,-229059,-220779,-253576,-295811,-334458,-668916
Estonia,Developing,87545,95528,177013,215037,20767,41534
Ethiopia,Developing,373097,337446,321179,249322,137584,275168
Faeroe Islands,Developing,-9467,-6357,-5141,-5392,-12088,-24176
Fiji,Developing,11548,3445,-13821,-60326,-111136,-222272
Finland,Developed,-248407,-348898,-305912,-259776,-243656,-487312
France,Developed,2251541,4194208,4322125,4610471,4282803,8565606
French Polynesia,Developing,1589,7439,6870,20144,16816,33632
Gabon,Developing,15600,32201,56577,110746,174813,349626
"Gambia, The",Developing,19697,34011,55886,94581,134492,268984
Georgia,Developing,275893,-84497,-242884,-510251,-919788,-1839576
Germany,Developed,1619473,3464527,5257030,5398961,6913739,13827478
Ghana,Developing,453139,220268,-315888,-264007,-300337,-600674
Gibraltar,Developing,-6597,-3406,-4557,-4375,3512,7024
Greece,Developed,-882391,-1081367,-997403,-641833,-312191,-624382
Greenland,Developing,1252,3467,7270,-1761,-7254,-14508
Grenada,Developing,-15115,-15111,-31969,-39023,-50487,-100974
Guam,Developing,13500,13107,18441,58327,20811,41622
Guatemala,Developing,9825,-13039,-57748,-265423,-518801,-1037602
Guinea,Developing,-185506,-223993,-303732,-332170,-176394,-352788
Guinea-Bissau,Developing,-30930,-31905,-31176,-53947,-59865,-119730
Guyana,Developing,-19090,-8071,-104026,-239456,-344774,-689548
Haiti,Developing,-126129,-197621,-285242,-488398,-741945,-1483890
Honduras,Developing,12399,-52483,-61285,-121280,-312677,-625354
"Hong Kong SAR, China",Developing,1575676,1630241,1808952,1782285,1941627,3883254
Hungary,Developing,-116123,-148162,-135667,-131863,-155314,-310628
Iceland,Developed,-12935,-10485,-13380,-14506,-11716,-23432
India,Developing,329591,929722,1306540,-769841,-3256318,-6512636
Indonesia,Developing,1554185,938396,253307,-610205,-1616025,-3232050
"Iran, Islamic Rep.",Developing,-122560,-146229,-203509,86414,-59487,-118974
Iraq,Developing,-101307,-182472,-359207,-580012,-988373,-1976746
Ireland,Developed,-465945,-992604,-687906,-735554,-737540,-1475080
Isle of Man,Developing,0,0,0,0,0,0
Israel,Developed,1134900,1322437,1285244,1418288,1999123,3998246
Italy,Developed,-4036719,-4449144,-3407940,-2387980,-1085429,-2170858
Jamaica,Developing,-187142,-245140,-403018,-610445,-903765,-1807530
Japan,Developed,349902,301417,198644,361308,824377,1648754
Jordan,Developing,-45535,-218638,-429522,-651171,-578178,-1156356
Kazakhstan,Developing,835938,1267074,1256948,807174,-546571,-1093142
Kenya,Developing,-244885,-211463,-151944,-148056,170083,340166
Kiribati,Developing,-1194,-1610,-1294,-3076,-9181,-18362
"Korea, Dem. Rep.",Developing,-136998,-151682,-527588,-580593,-508058,-1016116
"Korea, Rep.",Developing,-701240,-610705,-563540,-1006806,-1326499,-2652998
Kosovo,Developing,0,0,0,0,0,0
Kuwait,Developing,77929,432487,818286,1322230,1211893,2423786
Kyrgyz Republic,Developing,381581,379827,369559,112601,-297378,-594756
Lao PDR,Developing,-3047,-7178,-111564,-266699,-313502,-627004
Latvia,Developing,233272,237186,325296,423281,95349,190698
Lebanon,Developing,-124768,-176128,-422849,-387381,-359913,-719826
Lesotho,Developing,-200096,-189362,-211377,-320062,-168039,-336078
Liberia,Developing,13227,28197,-10399,-11042,-187615,-375230
Libya,Developing,-5797,40984,218081,352742,394295,788590
Liechtenstein,Developed,-51,2363,2023,8461,6313,12626
Lithuania,Developing,-149640,-193696,-37388,25267,-330461,-660922
Luxembourg,Developed,17836,31366,48503,79734,110161,220322
"Macao SAR, China",Developing,60148,-1809157,99687,24100,143342,286684
"Macedonia, FYR",Developing,-100380,-133655,-448285,-128966,-232134,-464268
Madagascar,Developing,118422,59229,-24885,-41537,-23662,-47324
Malawi,Developing,1713,-16997,21505,6575,43271,86542
Malaysia,Developing,-166075,421722,264783,356814,350644,701288
Maldives,Developing,1642,1766,1332,559,2272,4544
Mali,Developing,-93188,-227806,-488801,-484172,-616023,-1232046
Malta,Developing,-79490,-93707,-98479,-103828,-62274,-124548
Marshall Islands,Developing,481,658,-917,-2119,-4369,-8738
Mauritania,Developing,-31443,-22332,-33558,-31598,-33547,-67094
Mauritius,Developing,-1026,-6919,-57593,-94119,-47728,-95456
Mexico,Developing,-415926,-839906,-2309961,-4400008,-9051627,-18103254
"Micronesia, Fed. Sts.",Developing,4765,2808,-6632,-3886,-11955,-23910
Moldova,Developing,-87638,-32263,48225,-10248,-164521,-329042
Monaco,Developed,9697,12410,1629,18421,18635,37270
Mongolia,Developing,3266,2554,3441,4678,3323,6646
Montenegro,Developing,0,0,0,0,0,0
Morocco,Developing,-268518,-689212,-1152182,-1560190,-1519938,-3039876
Mozambique,Developing,-640827,-629482,-445323,-445764,-387145,-774290
Myanmar,Developing,154901,77215,-59033,-68547,-227590,-455180
Namibia,Developing,6162,6436,3964,5429,44562,89124
Naura,Developing,104,975,2299,2838,3007,6014
Nepal,Developing,-187113,-262784,-395760,-174878,-179637,-359274
Netherlands,Developed,-180508,-436605,-254463,387617,681940,1363880
New Caledonia,Developing,8216,13899,19982,26840,25358,50716
New Zealand,Developed,243574,290224,213215,139053,160656,321312
Nicaragua,Developing,-31873,-35373,-77784,-293780,-472351,-944702
Niger,Developing,-25588,-31269,-97959,-15445,-55310,-110620
Nigeria,Developing,-241217,-176924,920042,28434,99520,199040
Northern Mariana Islands,Developing,2201,3017,482,19457,34073,68146
Norway,Developed,-205775,-144677,-46328,27034,84951,169902
Oman,Developing,21979,21438,76713,275736,435441,870882
Pakistan,Developing,-2494290,-3410335,132265,-187846,-1168681,-2337362
Palau,Developing,-4472,-2465,-4848,-4828,-11981,-23962
Panama,Developing,41411,16643,-62546,-90382,-91953,-183906
Papua New Guinea,Developing,15871,41237,11641,-1046,-18522,-37044
Paraguay,Developing,-132187,-160122,-147538,-120187,-221414,-442828
Peru,Developing,9765,-3448,-71474,-236050,-640884,-1281768
Philippines,Developing,64080,-183317,-859630,-1909457,-2668461,-5336922
Poland,Developing,-3270385,-3132632,-3259346,-3067497,-4317154,-8634308
Portugal,Developed,-853469,-1171548,-1601707,-1337199,-691436,-1382872
Puerto Rico,Developing,-606458,-782672,-889926,-1130919,-1140037,-2280074
Qatar,Developing,10119,66697,143761,338950,451005,902010
Romania,Developing,-258161,-413819,-429767,-1614605,-1161290,-2322580
Russian Federation,Developing,-2249660,-3245074,-3430889,-2668657,1677519,3355038
Rwanda,Developing,-376743,-360011,-295902,-266495,-142693,-285386
Samoa,Developing,-5344,-16657,-48169,-70787,-92304,-184608
San Marino,Developed,6832,7726,6554,7814,5286,10572
Sao Tome and Principe,Developing,-15900,-6136,-8177,-13077,-28174,-56348
Saudi Arabia,Developing,42208,312675,1706124,4554650,4912638,9825276
Senegal,Developing,88400,4996,-83908,-90142,-117398,-234796
Serbia,Developing,0,0,0,0,0,0
Seychelles,Developing,-61,1116,-1817,-3618,-3549,-7098
Sierra Leone,Developing,31980,61057,61433,27829,-60326,-120652
Singapore,Developing,491018,426356,376169,569075,1065018,2130036
Slovak Republic,Developing,-390777,-360482,-279037,-330269,-424040,-848080
Slovenia,Developing,-14153,-22405,-6110,68785,51440,102880
Solomon Islands,Developing,3148,2860,3344,2992,3200,6400
Somalia,Developing,-97985,-103810,-126765,-172978,-357462,-714924
South Africa,Developing,747642,730678,731862,826266,299790,599580
Spain,Developed,-1551007,-2072306,-1274150,-727975,664803,1329606
Sri Lanka,Developing,935645,957656,264789,-184307,-385424,-770848
St. Kitts and Nevis,Developing,-8622,-4554,-10445,-20280,-24120,-48240
St. Lucia,Developing,-6926,-4997,-9354,-16408,-24317,-48634
St. Vincent and the Grenadines,Developing,-13838,-13798,-23319,-32077,-48077,-96154
Sudan,Developing,94801,80236,45785,-60059,-184747,-369494
Suriname,Developing,1229,-12070,-59921,-177310,-204621,-409242
Swaziland,Developing,-26447,-6935,-18960,-40435,-12398,-24796
Sweden,Developed,-33234,246038,368542,538631,661120,1322240
Switzerland,Developing,448669,736176,697353,950677,1024821,2049642
Syrian Arab Republic,Developing,-77265,37665,-251555,-400034,-483759,-967518
Tajikistan,Developing,204667,251858,219060,100762,-230559,-461118
Tanzania,Developing,298692,257810,203983,102000,-11664,-23328
Thailand,Developing,306723,180125,136517,-6603,126667,253334
Togo,Developing,-106279,-39008,-51326,-8201,-75836,-151672
Tonga,Developing,-2072,-2605,-15432,-25320,-43205,-86410
Trinidad and Tobago,Developing,16661,6291,-50423,-158141,-265153,-530306
Tunisia,Developing,-65501,-295321,-473195,-526099,-528936,-1057872
Turkey,Developed,468305,43012,-1725502,-1526382,-1852990,-3705980
Turkmenistan,Developing,-24366,144837,149237,-5099,-103893,-207786
Turks and Caicos Islands,Developing,-4618,-4936,-2855,1421,802,1604
Tuvalu,Developing,227,110,-1460,-1460,-3233,-6466
Uganda,Developing,532717,501901,284828,147581,-217987,-435974
Ukraine,Developing,-2235843,-923849,-251724,-273506,-711332,-1422664
United Arab Emirates,Developing,-318,51309,671877,1245420,2157062,4314124
United Kingdom,Developed,-1813843,-860124,-715402,-447843,778518,1557036
United States,Developed,9797476,10598416,14590584,21142136,32286240,64572480
Uruguay,Developing,112755,47628,-66298,-125600,-147649,-295298
Uzbekistan,Developing,456005,628698,718057,525301,-300642,-601284
Vanuatu,Developing,1716,1226,-336,-2634,-5205,-10410
"Venezuela, RB",Developing,453259,473616,789664,803704,680977,1361954
Vietnam,Developing,-267179,-246595,-549175,-1070609,-1681103,-3362206
Virgin Islands (U.S.),Developing,-139299,-23429,-7478,27286,-35474,-70948
"Virgin Islands, British",Developing,-5396,643,-1592,93,2002,4004
"Yemen, Rep.",Developing,76500,-75944,-26238,-213395,-251198,-502396
Zambia,Developing,242044,147969,66566,-51160,-51934,-103868
Zimbabwe,Developing,225544,318372,249248,139124,39006,78012
