Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,8994793,11121097,13211412,12067570,19701940,27962207
"Population, total",SP.POP.TOTL,Albania,ALB,1608800,2135479,2671997,3286542,3089027,2913021
"Population, total",SP.POP.TOTL,Algeria,DZA,11124892,14550033,19337723,25912364,31183658,36036159
"Population, total",SP.POP.TOTL,American Samoa,ASM,20012,27292,32456,47044,57522,55636
"Population, total",SP.POP.TOTL,Andorra,ADO,13414,24279,36063,54511,65399,84419
"Population, total",SP.POP.TOTL,Angola,AGO,5270844,6300969,8211950,11127870,15058638,21219954
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,54681,65369,70301,61906,77648,87233
"Population, total",SP.POP.TOTL,Arab World,ARB,92540534,122128175,164670713,222117305,281326250,353112237
"Population, total",SP.POP.TOTL,Argentina,ARG,20619075,23973062,28105889,32729740,37057453,41222875
"Population, total",SP.POP.TOTL,Armenia,ARM,1867396,2518408,3096298,3544695,3076098,2963496
"Population, total",SP.POP.TOTL,Aruba,ABW,54208,59065,60096,62148,90858,101597
"Population, total",SP.POP.TOTL,Australia,AUS,10276477,12507000,14692000,17065100,19153000,22031750
"Population, total",SP.POP.TOTL,Austria,AUT,7047539,7467086,7549433,7677850,8011566,8363404
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,3897889,5178160,6163990,7159000,8048600,9054332
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,109526,169356,210660,256338,297891,360830
"Population, total",SP.POP.TOTL,Bahrain,BHR,162501,213102,359902,495944,666855,1261319
"Population, total",SP.POP.TOTL,Bangladesh,BGD,48200702,65048701,81364176,105983136,131280739,151616777
"Population, total",SP.POP.TOTL,Barbados,BRB,230934,238847,252197,260374,269838,279566
"Population, total",SP.POP.TOTL,Belarus,BLR,8198000,9040000,9643000,10189000,10005000,9490000
"Population, total",SP.POP.TOTL,Belgium,BEL,9153489,9655549,9859242,9967379,10251250,10895586
"Population, total",SP.POP.TOTL,Belize,BLZ,92068,122179,144151,187552,247312,321609
"Population, total",SP.POP.TOTL,Benin,BEN,2431620,2907769,3718024,5001271,6949366,9509798
"Population, total",SP.POP.TOTL,Bermuda,BMU,44400,55000,54670,59326,61833,65124
"Population, total",SP.POP.TOTL,Bhutan,BTN,224108,291457,412561,535505,564187,720246
"Population, total",SP.POP.TOTL,Bolivia,BOL,3693451,4505774,5589572,6856246,8339512,9918245
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3214520,3745637,4144726,4526996,3792878,3835258
"Population, total",SP.POP.TOTL,Botswana,BWA,524029,693021,996331,1379814,1736579,2047831
"Population, total",SP.POP.TOTL,Brazil,BRA,72493585,95982453,122199721,150393143,175786441,198614208
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,8036,9802,11003,16459,20643,27223
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,81825,129729,193057,256939,330554,393302
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7867374,8489574,8861535,8718289,8170172,7395599
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,4829291,5624597,6822840,8811033,11607944,15632066
"Population, total",SP.POP.TOTL,Burundi,BDI,2786740,3457113,4126544,5613141,6767073,9461117
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,202316,270197,285599,341256,438737,490379
"Population, total",SP.POP.TOTL,Cambodia,KHM,5722370,7022185,6718241,9008856,12197905,14363586
"Population, total",SP.POP.TOTL,Cameroon,CMR,5361367,6770967,8932121,12070359,15927713,20590666
"Population, total",SP.POP.TOTL,Canada,CAN,17909009,21324000,24593000,27791000,30769700,34005274
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,4190810,4882583,5471020,5960368,6454716,6854569
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,7867,9144,16164,25009,41685,55509
"Population, total",SP.POP.TOTL,Central African Republic,CAF,1503501,1828710,2274095,2937832,3726048,4444973
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,91401583,99133296,106564905,110745760,108405522,104543801
"Population, total",SP.POP.TOTL,Chad,TCD,3002596,3644911,4512795,5958022,8343321,11896380
"Population, total",SP.POP.TOTL,Channel Islands,CHI,109419,121196,128213,140669,148725,159583
"Population, total",SP.POP.TOTL,Chile,CHL,7695692,9561868,11234340,13141202,15170387,17015048
"Population, total",SP.POP.TOTL,China,CHN,667070000,818315000,981235000,1135185000,1262645000,1337705000
"Population, total",SP.POP.TOTL,Colombia,COL,16480384,22061214,27737905,34271563,40403959,45918101
"Population, total",SP.POP.TOTL,Comoros,COM,188732,228443,308518,415144,547696,698695
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",ZAR,15248246,20009902,26357407,34962676,48048664,65938712
