name,color,Inflow,Outflow,Netflow
Argentina,#1f77b4,1894028,315269,1578759
Australia,#aec7e8,2896436,222632,2673804
Bangladesh,#ff7f0e,804505,5047223,-4242718
Belarus,#ffbb78,1296667,2319593,-1022926
Canada,#2ca02c,3810577,1211849,2598728
China,#98df8a,54670,4174988,-4120318
France,#d62728,5890619,1423049,4467570
Germany,#ff9896,8420742,2774441,5646301
Hong Kong,#9467bd,2060644,251622,1809022
India,#c5b0d5,8845453,7582096,1263357
Italy,#1f77b4,1109568,4510364,-3400796
Kazakhstan,#aec7e8,3315736,2059098,1256638
Mexico,#ff7f0e,269361,2579330,-2309969
Pakistan,#ffbb78,4098390,3970210,128180
Poland,#2ca02c,1544757,4800381,-3255624
Portugal,#98df8a,265521,1872021,-1606500
Russian Federation,#d62728,8248485,11682097,-3433612
Spain,#ff9896,609350,1900957,-1291607
Turkey,#9467bd,780600,2392038,-1611438
Ukraine,#c5b0d5,6115984,6368129,-252145
United Kingdom,#1f77b4,3439333,4154492,-715159
United States,#aec7e8,16364414,1635115,14729299
Uzbekistan,#ff7f0e,1447997,730437,717560
