Country,InorOut,Develop,1960,1970,1980,1990,2000
Afghanistan,Moveout,Developing,83971,131068,373928,1054163,1179584
Albania,Moveout,Developing,74508,57533,47134,204680,1019484
Algeria,Moveout,Developing,853881,1694625,1602981,1563318,1335560
American Samoa,Moveout,Developing,4473,12971,12679,3415,19484
Angola,Moveout,Developing,98851,132902,207943,268476,373707
Antigua and Barbuda,Moveout,Developing,10999,5343,13726,26499,41360
Argentina,Moveout,Developing,156095,208728,315055,436464,575182
Armenia,Moveout,Developing,389797,424776,428720,469058,852733
Aruba,Moveout,Developing,1542,962,4185,5238,6684
Australia,Moveout,Developed,164130,218425,221330,300031,453336
Austria,Moveout,Developed,651702,620526,606237,486071,470072
Azerbaijan,Moveout,Developing,402178,563090,737062,1015309,1506111
"Bahamas, The",Moveout,Developing,7567,1443,18637,29523,34923
Bahrain,Moveout,Developing,1706,3488,9168,12023,31412
Bangladesh,Moveout,Developing,53107,235518,5047073,5068258,4987532
Barbados,Moveout,Developing,28140,24799,68033,91767,90412
Belarus,Moveout,Developing,1949779,2283457,2319551,2529400,1746844
Belgium,Moveout,Developed,242477,333650,353144,367642,304703
Belize,Moveout,Developing,5788,30066,21252,41061,50800
Benin,Moveout,Developing,97647,143237,386108,266094,352163
Bermuda,Moveout,Developed,3961,472,14873,18136,18252
Bhutan,Moveout,Developing,274,1196,10642,14667,11688
Bolivia,Moveout,Developing,120525,139081,166704,226333,361350
Bosnia and Herzegovina,Moveout,Developing,212420,350040,301007,827528,1293307
Botswana,Moveout,Developing,66981,53232,79104,73036,38571
Brazil,Moveout,Developing,142739,187885,299514,462949,896472
Brunei Darussalam,Moveout,Developing,912,5386,8070,87092,51115
Bulgaria,Moveout,Developing,492924,464087,398706,646402,770910
Burkina Faso,Moveout,Developing,459495,793684,903992,978017,1389146
Burundi,Moveout,Developing,193934,210462,282696,211157,202607
Cambodia,Moveout,Developing,17663,20837,94323,247270,281689
Cameroon,Moveout,Developing,59978,59210,135004,112146,136149
Canada,Moveout,Developed,1128979,1115665,1208503,1140746,1248996
Cape Verde,Moveout,Developing,40699,38043,63167,84208,151992
Cayman Islands,Moveout,Developing,1248,251,1287,2200,1482
Central African Republic,Moveout,Developing,23671,31884,34226,31835,21998
Chad,Moveout,Developing,69803,70289,111003,156644,134562
Channel Islands,Moveout,Developing,0,0,0,0,0
Chile,Moveout,Developing,174026,228686,401747,487320,506512
